,附表A-5 單一自我認定主要族群人口百分比-,,,,,,,,
,,,依常住縣市及鄉鎮市區分(續5),,,,,,
,,,,,,,單位：人；%,,
,樣本數,臺灣,,大陸各,,,其他,不知道/,
項目別,,總計,福老人,,原住民,臺灣人,,,
,(人),客家人,,省市人,,,族群,未回答,
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
竹南鎮,412,100.0,23.0,72.2,2.3,1.0,0.7,0.4,0.4
頭份鎮,416,100.0,69.3,25.2,2.8,0.7,1.0,-,1.1
後龍鎮,409,100.0,25.7,70.9,1.1,0.2,0.7,-,1.3
卓蘭鎮,411,100.0,67.2,29.0,2.0,0.3,0.8,-,0.7
大湖鄉,408,100.0,88.1,9.6,0.3,1.2,0.5,-,0.2
公館鄉,403,100.0,86.4,11.1,1.5,0.4,0.2,-,0.4
銅鑼鄉,403,100.0,89.6,7.7,1.1,0.9,-,0.3,0.3
南庄鄉,404,100.0,73.0,16.2,4.4,6.0,-,-,0.3
頭屋鄉,408,100.0,85.3,9.5,1.9,1.0,0.7,-,1.5
三義鄉,408,100.0,67.0,31.7,0.5,0.2,0.5,0.1,0.0
西湖鄉,408,100.0,61.5,34.4,3.3,0.3,0.2,-,0.4
造橋鄉,409,100.0,81.0,17.1,1.7,-,0.1,-,0.1
三灣鄉,404,100.0,79.4,15.3,0.7,0.5,3.5,-,0.7
獅潭鄉,401,100.0,79.2,18.2,0.4,1.6,0.1,0.3,0.1
泰安鄉,401,100.0,42.8,22.3,18.1,16.2,0.6,0.0,-
彰化縣,"2,623",100.0,4.2,83.8,3.1,1.2,6.1,0.2,1.5
彰化市,101,100.0,3.5,83.7,6.2,-,4.5,-,2.0
鹿港鎮,102,100.0,2.4,82.0,2.4,3.8,5.1,-,4.4
和美鎮,103,100.0,3.7,80.3,3.2,-,11.9,-,0.9
線西鄉,100,100.0,0.8,92.7,1.1,0.5,4.0,-,0.8
伸港鄉,101,100.0,2.4,80.1,4.6,3.0,9.1,-,0.9
福興鄉,100,100.0,2.8,92.1,2.9,0.2,1.1,-,1.0
秀水鄉,100,100.0,2.1,88.1,-,0.4,9.4,-,-
花壇鄉,101,100.0,2.5,79.9,5.4,2.6,7.3,-,2.3
芬園鄉,100,100.0,2.9,85.4,-,1.3,10.4,-,-
員林鎮,100,100.0,7.4,73.8,6.1,5.2,4.8,-,2.7
溪湖鎮,100,100.0,3.0,83.6,1.4,-,8.9,-,3.0
田中鎮,100,100.0,11.2,65.4,6.2,2.9,11.2,-,3.1
大村鄉,100,100.0,2.1,91.7,2.3,-,3.9,-,-
埔鹽鄉,100,100.0,2.2,93.7,1.2,-,2.9,-,-
埔心鄉,100,100.0,4.6,82.8,0.9,1.1,9.3,-,1.2
永靖鄉,100,100.0,7.6,80.5,4.1,-,7.6,-,0.3
社頭鄉,102,100.0,2.7,89.6,0.7,1.1,4.4,-,1.5
二水鄉,100,100.0,0.5,93.3,0.8,0.4,4.9,-,-
北斗鎮,100,100.0,2.2,82.5,0.5,3.0,7.6,1.8,2.3
二林鎮,101,100.0,11.0,83.4,1.1,-,0.7,2.9,0.9
田尾鄉,103,100.0,5.2,87.6,-,-,6.8,-,0.5
埤頭鄉,101,100.0,2.6,93.6,1.7,0.2,1.8,-,-
芳苑鄉,106,100.0,4.4,86.9,2.3,0.6,5.9,-,-
註：本表為受訪者居住所在鄉鎮市區，並依據鄉鎮市區人口數占全國總人口數比例加權推估。,,,,,,,,,
,,,附錄 一 - 50,,,,,,
,附表A-5 單一自我認定主要族群人口百分比-,,,,,,,,
,,,依常住縣市及鄉鎮市區分(續6),,,,,,
,,,,,,,單位：人；%,,
,樣本數,臺灣,,大陸各,,,其他,不知道/,
項目別,,總計,福老人,,原住民,臺灣人,,,
,(人),客家人,,省市人,,,族群,未回答,
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
大城鄉,101,100.0,5.1,89.2,1.2,1.3,2.3,-,0.9
竹塘鄉,101,100.0,3.1,87.6,1.1,-,6.8,0.3,1.0
溪州鄉,100,100.0,5.9,83.9,-,0.3,8.7,-,1.3
南投縣,"2,618",100.0,11.7,72.9,3.7,4.2,5.7,0.3,1.5
南投市,103,100.0,6.9,70.3,2.4,9.2,11.3,-,-
埔里鎮,400,100.0,11.5,69.0,2.0,7.1,5.8,-,4.6
草屯鎮,101,100.0,8.0,78.6,0.2,3.5,7.2,-,2.6
竹山鎮,102,100.0,7.9,82.3,3.3,0.1,4.0,1.1,1.2
集集鎮,102,100.0,5.5,77.9,3.3,-,12.9,-,0.3
名間鄉,102,100.0,9.0,75.1,8.7,1.0,3.7,2.6,-
鹿谷鄉,102,100.0,4.8,90.0,2.3,1.1,1.8,-,-
中寮鄉,201,100.0,12.1,68.0,6.3,4.4,7.8,-,1.4
魚池鄉,102,100.0,9.5,69.0,18.7,1.8,0.8,-,0.2
國姓鄉,400,100.0,50.7,46.6,1.3,0.1,0.9,-,0.6
水里鄉,400,100.0,20.3,71.6,1.5,2.2,3.9,0.1,0.4
信義鄉,402,100.0,13.8,77.3,1.1,3.4,3.1,0.5,0.8
仁愛鄉,101,100.0,3.2,71.6,8.0,11.8,1.1,-,4.3
雲林縣,"2,652",100.0,5.9,82.2,2.3,1.2,7.1,0.1,1.1
斗六市,104,100.0,8.0,73.2,6.4,-,12.4,-,-
斗南鎮,101,100.0,1.2,73.5,3.4,4.4,12.6,-,4.8
虎尾鎮,100,100.0,1.3,93.0,1.3,1.5,2.9,-,-
西螺鎮,100,100.0,6.1,84.6,0.6,1.1,3.5,-,4.2
土庫鎮,105,100.0,2.7,84.3,6.4,1.0,3.4,-,2.1
北港鎮,102,100.0,4.9,78.7,3.5,2.4,8.7,-,1.7
古坑鄉,101,100.0,2.5,83.7,1.4,1.2,9.9,-,1.4
大埤鄉,102,100.0,2.2,87.2,2.0,0.8,7.8,-,-
莿桐鄉,100,100.0,2.9,86.9,1.2,-,7.1,-,1.9
林內鄉,100,100.0,8.6,87.8,1.2,-,1.6,-,0.7
二崙鄉,407,100.0,20.2,76.2,0.6,0.3,2.0,0.4,0.3
崙背鄉,412,100.0,23.8,69.6,0.7,0.8,4.8,0.1,0.2
麥寮鄉,101,100.0,8.8,83.6,1.5,0.4,3.2,1.0,1.4
東勢鄉,105,100.0,2.7,79.9,5.6,1.8,10.0,-,-
褒忠鄉,102,100.0,5.4,82.6,0.3,-,10.3,-,1.3
臺西鄉,100,100.0,10.5,77.4,-,1.5,10.6,-,-
元長鄉,103,100.0,3.5,90.3,0.5,2.0,2.9,0.8,-
四湖鄉,105,100.0,0.7,91.3,1.6,1.3,5.1,-,-
口湖鄉,100,100.0,0.6,90.1,-,-,9.3,-,-
水林鄉,102,100.0,1.2,85.5,1.0,1.6,9.1,-,1.6
嘉義縣,"1,819",100.0,4.4,81.2,2.8,3.7,6.5,0.4,1.1
註：本表為受訪者居住所在鄉鎮市區，並依據鄉鎮市區人口數占全國總人口數比例加權推估。,,,,,,,,,
,,,附錄 一 - 51,,,,,,
,附表A-5 單一自我認定主要族群人口百分比-,,,,,,,,
,,,依常住縣市及鄉鎮市區分(續7),,,,,,
,,,,,,,單位：人；%,,
,樣本數,臺灣,,大陸各,,,其他,不知道/,
項目別,,總計,福老人,,原住民,臺灣人,,,
,(人),客家人,,省市人,,,族群,未回答,
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
太保市,101,100.0,3.3,86.7,2.5,3.0,4.5,-,-
朴子市,101,100.0,1.4,80.5,1.6,5.9,7.2,-,3.5
布袋鎮,104,100.0,-,83.3,2.2,4.7,7.2,-,2.6
大林鎮,102,100.0,6.5,88.2,2.1,-,1.0,2.2,-
民雄鄉,100,100.0,7.5,81.5,0.9,-,8.1,-,2.0
溪口鄉,100,100.0,2.7,83.1,0.6,-,12.9,-,0.7
新港鄉,101,100.0,3.4,84.1,2.2,3.4,5.8,0.6,0.5
六腳鄉,104,100.0,3.5,73.4,6.0,4.3,12.1,-,0.7
東石鄉,101,100.0,1.3,74.7,8.3,-,15.8,-,-
義竹鄉,101,100.0,8.1,82.5,0.3,-,7.2,-,2.0
鹿草鄉,100,100.0,2.2,77.6,-,-,17.4,2.8,-
水上鄉,100,100.0,3.4,81.0,5.5,5.3,4.8,-,-
中埔鄉,100,100.0,6.8,84.9,2.6,2.3,3.2,-,0.3
竹崎鄉,102,100.0,4.0,83.0,4.7,3.3,0.2,1.3,3.4
梅山鄉,101,100.0,3.4,90.8,1.9,0.8,3.3,-,-
番路鄉,100,100.0,11.9,78.1,5.3,2.4,1.2,-,1.1
大埔鄉,101,100.0,1.2,92.7,1.1,0.6,4.4,-,-
阿里山,100,100.0,7.1,36.1,2.2,53.2,0.5,-,0.8
屏東縣,"6,805",100.0,22.7,65.5,3.0,5.3,2.4,0.5,0.6
屏東市,601,100.0,18.6,70.1,4.1,2.6,3.2,0.3,1.2
潮州鎮,404,100.0,15.4,75.7,1.2,3.1,4.4,-,0.1
東港鎮,100,100.0,2.4,83.7,2.1,1.7,7.9,1.3,0.9
恆春鎮,101,100.0,4.8,79.5,0.9,11.6,2.1,1.1,-
萬丹鄉,106,100.0,6.6,89.2,1.5,1.8,1.0,-,-
長治鄉,404,100.0,37.4,57.4,2.2,1.0,1.6,0.2,0.3
麟洛鄉,402,100.0,65.4,27.6,5.4,1.0,0.4,-,0.1
九如鄉,104,100.0,4.5,91.4,2.3,-,1.4,-,0.5
里港鄉,104,100.0,5.4,82.3,1.4,5.8,5.1,-,-
鹽埔鄉,106,100.0,7.4,82.7,3.9,3.6,2.3,-,-
高樹鄉,415,100.0,36.5,47.2,11.0,0.7,2.8,0.5,1.2
萬巒鄉,409,100.0,40.7,55.1,0.7,2.5,0.2,-,0.8
內埔鄉,413,100.0,61.0,29.7,5.1,3.8,0.5,-,-
竹田鄉,401,100.0,63.6,28.8,2.9,0.5,1.5,2.7,-
新埤鄉,405,100.0,56.9,38.2,0.3,0.4,4.2,0.1,-
枋寮鄉,106,100.0,4.0,87.2,3.2,1.6,3.6,-,0.3
新園鄉,102,100.0,6.9,71.5,5.5,5.1,1.5,5.0,4.5
崁頂鄉,103,100.0,3.9,94.6,-,1.0,0.5,-,-
林邊鄉,104,100.0,5.6,91.3,2.8,-,0.3,-,-
南州鄉,100,100.0,6.7,91.0,0.4,0.9,1.1,-,-
註：本表為受訪者居住所在鄉鎮市區，並依據鄉鎮市區人口數占全國總人口數比例加權推估。,,,,,,,,,
,,,附錄 一 - 52,,,,,,
,附表A-5 單一自我認定主要族群人口百分比-,,,,,,,,
,,,依常住縣市及鄉鎮市區分(續8),,,,,,
,,,,,,,單位：人；%,,
,樣本數,臺灣,,大陸各,,,其他,不知道/,
項目別,,總計,福老人,,原住民,臺灣人,,,
,(人),客家人,,省市人,,,族群,未回答,
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
佳冬鄉,409,100.0,34.6,64.4,0.7,-,0.3,-,-
琉球鄉,101,100.0,-,91.0,1.3,-,5.0,-,2.7
車城鄉,201,100.0,8.0,81.9,1.9,7.7,0.5,-,-
滿州鄉,201,100.0,9.0,71.5,2.3,13.3,3.9,-,-
枋山鄉,100,100.0,7.7,87.6,0.2,3.5,0.9,-,-
三地門,100,100.0,15.4,20.2,9.2,54.8,0.3,-,-
霧臺鄉,102,100.0,4.6,85.5,4.7,5.0,0.1,-,-
瑪家鄉,100,100.0,3.0,20.5,0.5,75.2,0.6,-,0.2
泰武鄉,100,100.0,4.2,59.3,1.5,33.9,1.1,-,-
來義鄉,101,100.0,6.5,53.7,0.7,38.7,0.5,-,-
春日鄉,100,100.0,9.3,57.7,0.4,18.2,14.1,-,0.3
獅子鄉,100,100.0,3.3,72.0,0.3,22.2,2.2,-,-
牡丹鄉,100,100.0,3.7,53.3,0.3,39.7,3.0,-,-
臺東縣,"2,636",100.0,13.9,59.9,6.4,13.9,4.8,0.4,0.5
臺東市,214,100.0,11.6,62.8,8.2,13.5,2.0,1.7,0.2
成功鎮,101,100.0,9.8,55.7,2.3,28.1,4.1,-,-
關山鎮,403,100.0,40.8,46.0,0.5,3.9,8.8,-,0.1
卑南鄉,100,100.0,5.6,55.8,6.4,31.6,0.5,-,-
鹿野鄉,401,100.0,31.4,58.5,3.7,6.3,0.1,-,-
池上鄉,400,100.0,36.8,42.4,15.4,5.1,0.2,-,0.1
東河鄉,109,100.0,9.3,60.3,0.8,26.0,3.6,-,-
長濱鄉,103,100.0,11.4,50.1,18.3,18.2,2.0,-,-
太麻里,101,100.0,6.7,55.6,4.0,30.0,3.2,-,0.5
大武鄉,100,100.0,4.9,60.7,8.2,13.6,11.9,-,0.6
綠島鄉,100,100.0,1.1,53.4,1.4,0.2,43.5,-,0.3
海端鄉,100,100.0,0.7,43.9,16.1,28.8,10.4,-,0.1
延帄鄉,104,100.0,0.8,87.6,7.1,3.5,0.7,-,0.3
金峰鄉,100,100.0,8.3,76.2,0.8,12.4,2.3,-,-
達仁鄉,100,100.0,1.3,73.0,1.0,9.3,0.9,-,14.4
蘭嶼鄉,100,100.0,4.6,75.7,-,7.6,12.2,-,-
花蓮縣,"4,030",100.0,24.7,52.6,5.6,13.7,2.7,0.2,0.4
花蓮市,405,100.0,20.0,60.3,7.7,7.1,4.5,0.5,0.1
鳳林鎮,401,100.0,43.7,42.7,3.9,7.7,0.7,0.5,0.9
玉里鎮,403,100.0,32.0,43.7,14.1,8.9,0.9,-,0.3
新城鄉,401,100.0,13.3,64.2,7.4,13.6,1.3,-,0.3
吉安鄉,404,100.0,31.5,50.3,4.2,8.7,4.5,-,0.8
壽豐鄉,404,100.0,25.0,60.8,1.8,10.2,1.7,0.1,0.3
光復鄉,405,100.0,25.0,40.0,5.3,21.7,7.3,-,0.7
豐濱鄉,104,100.0,2.8,52.5,6.8,33.9,2.2,1.7,0.3
註：本表為受訪者居住所在鄉鎮市區，並依據鄉鎮市區人口數占全國總人口數比例加權推估。,,,,,,,,,
,,,附錄 一 - 53,,,,,,
,,附表A-5 單一自我認定主要族群人口百分比-,,,,,,,
,,,依常住縣市及鄉鎮市區分(續完),,,,,,
,,,,,,,單位：人；%,,
,樣本數,臺灣,,大陸各,,,其他,不知道/,
項目別,,總計,福老人,,原住民,臺灣人,,,
,(人),客家人,,省市人,,,族群,未回答,
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
瑞穗鄉,400,100.0,29.5,43.9,0.8,24.9,0.5,0.3,0.1
富里鄉,400,100.0,39.0,51.5,2.5,6.1,0.6,0.3,-
秀林鄉,102,100.0,2.2,43.7,2.8,50.7,0.7,-,-
萬榮鄉,100,100.0,10.6,15.2,4.6,69.3,0.3,-,-
卓溪鄉,101,100.0,0.3,72.5,3.1,22.9,0.8,0.4,-
澎湖縣,102,100.0,4.6,74.2,4.9,-,6.0,-,10.4
基隆市,710,100.0,5.6,75.2,9.9,3.3,4.6,0.5,0.8
中正區,102,100.0,1.3,86.0,3.0,5.3,3.5,-,1.0
七堵區,100,100.0,3.2,82.0,4.8,1.6,6.5,1.9,-
暖暖區,102,100.0,8.1,72.2,14.8,-,3.8,1.1,-
仁愛區,101,100.0,8.3,76.8,7.8,-,5.1,1.2,0.8
中山區,103,100.0,7.8,67.4,11.1,4.5,5.1,-,4.0
安樂區,101,100.0,6.4,68.2,14.5,6.3,4.4,-,0.2
信義區,101,100.0,5.1,76.3,12.4,2.4,3.9,-,-
新竹市,"1,575",100.0,26.2,62.2,7.0,1.0,3.0,0.0,0.5
東區,605,100.0,28.1,61.7,5.7,1.2,2.9,-,0.5
北區,562,100.0,23.3,61.4,10.2,0.8,4.0,-,0.3
香山區,408,100.0,27.7,65.0,3.6,1.1,1.4,0.1,1.0
嘉義市,207,100.0,5.9,81.6,4.0,-,7.5,-,1.0
東區,102,100.0,7.4,78.2,6.2,-,8.0,-,0.3
西區,105,100.0,4.6,84.5,2.1,-,7.0,-,1.7
金門縣,113,100.0,1.2,83.8,5.1,7.2,1.9,-,0.7
連江縣,102,100.0,2.1,57.8,26.7,-,12.6,-,0.8
註：本表為受訪者居住所在鄉鎮市區，並依據鄉鎮市區人口數占全國總人口數比例加權推估。,,,,,,,,,
,,,附錄 一 - 54,,,,,,
